股票代码,股票名称,研报日期,机构名称,研究员,评级,目标价(元),当前价(元),上涨空间(%),每股收益预测2024,每股收益预测2025,每股收益预测2026,净利润预测2024(亿元),净利润预测2025(亿元),净利润预测2026(亿元),PE预测2024,PE预测2025,PE预测2026,投资要点,风险因素
600519,贵州茅台,2024-02-07,中信证券,张峰,买入,1900.00,1692.50,12.27,70.50,80.25,90.80,886.25,1008.50,1141.00,24.00,21.09,18.64,龙头地位稳固，产品结构升级，直营占比提升，提价能力强，现金流优异,消费税政策风险；宏观经济波动；食品安全风险
600519,贵州茅台,2024-02-06,中金公司,李明,跑赢行业,1850.00,1685.20,9.78,69.80,78.50,88.00,877.50,986.25,1105.50,24.15,21.47,19.15,千元价格带龙头，渠道库存健康，春节动销良好，业绩确定性强,行业竞争加剧；消费需求疲软；政策监管风险
000858,五粮液,2024-02-07,华泰证券,王芳,买入,165.00,144.20,14.42,8.50,9.80,11.20,330.00,380.40,434.80,16.96,14.71,12.87,次高端龙头，渠道改革深化，产品结构优化，全国化布局加速,行业调整风险；渠道库存压力；竞品挤压
601398,工商银行,2024-02-07,国泰君安,赵强,增持,5.30,4.88,8.61,0.98,1.02,1.06,3500.00,3642.00,3785.00,4.98,4.78,4.60,资产质量稳健，净息差企稳，股息率高，估值修复空间大,净息差收窄；信贷需求不足；房地产风险暴露
300750,宁德时代,2024-02-07,海通证券,刘洋,买入,200.00,162.50,23.08,12.50,15.80,19.20,550.00,695.20,844.80,13.00,10.28,8.46,全球动力电池龙头，技术领先，产能利用率提升，海外扩张加速,原材料价格波动；产能消化风险；竞争加剧
002594,比亚迪,2024-02-07,招商证券,陈华,买入,220.00,189.50,16.09,12.80,15.50,18.50,372.00,450.50,537.50,14.80,12.23,10.24,新能源汽车龙头，垂直整合优势，高端品牌突破，出口高增长,价格战风险；原材料成本上涨；海外政策变化
600036,招商银行,2024-02-07,兴业证券,周涛,买入,38.00,33.20,14.46,5.95,6.35,6.75,1500.00,1600.80,1701.60,5.58,5.23,4.92,零售银行标杆，财富管理优势，资产质量优异，ROE领先同业,经济复苏不及预期；房地产风险；息差收窄
601318,中国平安,2024-02-07,广发证券,吴刚,买入,48.00,41.85,14.70,5.20,5.85,6.50,948.00,1066.50,1185.00,8.05,7.15,6.44,寿险改革见效，产险稳健增长，综合金融优势，估值修复空间大,资本市场波动；利率下行；保险需求疲软
300760,迈瑞医疗,2024-02-07,国金证券,孙丽,买入,320.00,285.50,12.08,11.50,13.80,16.50,139.40,167.28,200.10,24.83,20.69,17.30,医疗器械龙头，研发实力强，产品矩阵完善，国际化进展顺利,集采降价风险；汇率波动；新产品注册进展
600276,恒瑞医药,2024-02-07,中信建投,郑伟,买入,55.00,46.50,18.28,0.85,1.05,1.28,54.25,67.05,81.76,54.71,44.29,36.33,创新药龙头，研发管线丰富，国际化加速，业绩拐点确立,研发失败风险；集采降价；竞争加剧
601012,隆基绿能,2024-02-07,天风证券,杨帆,增持,28.00,22.85,22.54,1.55,1.85,2.15,117.50,140.25,163.00,14.74,12.35,10.63,光伏龙头，技术迭代领先，成本优势明显，海外布局完善,产能过剩风险；价格战；技术路线风险
002415,海康威视,2024-02-07,中金公司,钱程,买入,40.00,33.45,19.58,1.80,2.15,2.55,168.30,201.05,238.48,18.58,15.56,13.12,安防龙头，AI转型加速，创新业务高增长，现金流优异,贸易摩擦风险；行业需求放缓；技术替代风险
600887,伊利股份,2024-02-07,华泰证券,林娜,买入,32.00,26.85,19.18,1.85,2.10,2.35,117.65,133.55,149.45,14.51,12.79,11.43,乳制品龙头，产品结构升级，渠道下沉加速，奶粉业务高增长,原奶价格波动；消费需求疲软；竞争加剧
601888,中国中免,2024-02-07,国信证券,黄伟,增持,100.00,86.80,15.21,3.60,4.20,4.85,74.48,86.90,100.35,24.11,20.69,17.92,免税龙头，海南免税增长，机场免税恢复，市内免税政策,消费复苏不及预期；政策风险；竞争加剧
603288,海天味业,2024-02-07,招商证券,李娜,中性,40.00,35.85,11.58,1.12,1.25,1.38,62.72,70.00,77.28,32.01,28.68,26.12,调味品龙头，渠道调整见效，成本压力缓解，市场份额提升,需求疲软；竞争加剧；原材料上涨
600900,长江电力,2024-02-07,长江证券,王刚,买入,26.50,23.65,12.05,1.35,1.42,1.50,330.75,347.90,365.50,17.52,16.65,15.77,水电龙头，乌东德白鹤滩注入，股息率高，现金流稳定,来水波动；电价下调；政策风险